genres,app_name,release_date,price,id,developer
Action,Lost Summoner Kitty,2018.0,4.99,761140,Kotoshiro
Indie,Ironbound,2018.0,0,643980,Secret Level SRL
Casual,Real Pool 3D - Poolians,2017.0,Free,670290,Poolians.com
Action,弹炸人2222,2017.0,0.99,767400,彼岸领域
Action,Log Challenge,,2.99,773570,
Action,Battle Royale Trainer,2018.0,3.99,772540,Trickjump Games Ltd
Indie,SNOW - All Access Basic Pass,2018.0,9.99,774276,Poppermost Productions
Indie,SNOW - All Access Pro Pass,2018.0,18.99,774277,Poppermost Productions
Indie,SNOW - All Access Legend Pass,2018.0,29.99,774278,Poppermost Productions
Casual,Race,2018.0,0,768800,RewindApp
Action,Uncanny Islands,,0,768570,Qucheza
Casual,Icarus Six Sixty Six,,Free,724910,
Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018.0,10.99,770380,Stegalosaurus Game Development
Casual,Beach Rules,2018.0,3.99,768880,Copperpick Studio
Casual,Planetarium 2 - Zen Odyssey,2018.0,2.99,765320,Ghulam Jewel
Adventure,The first thrust of God,2018.0,1.59,773650,Apillo
Indie,SNOW - Starter Pack,2018.0,14.99,774271,Poppermost Productions
Adventure,The first thrust of God - All Aircrafts,2018.0,1.99,773690,Apillo
Indie,SNOW - Lifetime Pack,2018.0,59.99,774279,Poppermost Productions
Early Access,After Life VR,,4.99,772590,
Early Access,Kitty Hawk,,2.99,640250,
Action,The Warrior Of Treasures,2018.0,0.99,768060,Tero Lunkka
Early Access,Mortars VR,,0.99,711440,
Racing,RC Plane 3 - Canyon Scenario,2017.0,2.99,775880,FrozenPepper
Racing,RC Plane 3 - F-53B,2017.0,2.99,775881,FrozenPepper
Action,DinoBlaster,2018.0,4.99,653960,Casey Labrack
Design & Illustration,Robotpencil Presents: Understanding 3D for Concept,2018.0,4.99,777910,
Action,Carmageddon Max Pack,1997.0,9.99,282010,Stainless Games Ltd
Action,Half-Life,1998.0,9.99,70,Valve
Action,Fallen Mage,2016.0,1.99,752360,dev4play
Action,Don't Get Hit In The Face,,3.99,594200,
Casual,Lost Cities,2018.0,0,520680,BlueLine Games
Action,Twisted Enhanced Edition,2018.0,0,690410,Games by Brundle
Casual,Vaporwave Simulator,2018.0,0.99,766850,ETGgames
Action,Tactics Forever,2018.0,0,413120,ProjectorGames
Adventure,Christmas Santa Troubles,2017.0,0,773120,Unknown Indie Devs
Action,Kingdom Watcher,,0,680970,
Action,Underdone - Soundtrack,2018.0,8.99,754360,The Commander
Adventure,Bitcoin Clicker,2018.0,0.99,716110,"lalalaZero,Urbanoff"
Strategy,Disciples II: Gallean's Return,2006.0,6.99,1640,Strategy First
Strategy,Disciples II: Rise of the Elves,2006.0,6.99,1630,Strategy First
Action,The Ship: Murder Party,2006.0,9.99,2400,Outerlight Ltd.
Strategy,United Tactics,,0,662570,Zachary M Thomas
Indie,Life of Rome,,0,381620,Breakout Studio
Adventure,Idle Adventure,,0,714020,"zha7,Phaedruns,Yingke Wu"
Early Access,Panoptic,,0,541930,
Action,Souland,2017.0,7.99,759920,Ultraint
Action,Darkness and a Crowd,2018.0,0,659780,Seth Albertus
